,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,School ID,Private School Name,Private Low Grade,Private High Grade,Private Address,PSS_COUNTY_NO
47,VA-029-0291350,5101260.0,VA-029,PK,6,Stratford Landing Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,8484 Riverside Rd,Alexandria,,,,,,
48,VA-101-1010210,5100120.0,VA-101,9,12,T.C. Williams High,ALEXANDRIA CITY PBLC SCHS,Alexandria city,3330 King St,Alexandria,,,,,,
49,VA-029-0291371,5101260.0,VA-029,9,12,Thomas Jefferson High for Science and Technology,FAIRFAX CO PBLC SCHS,Fairfax County,6560 Braddock Rd,Alexandria,,,,,,
50,VA-029-0291160,5101260.0,VA-029,7,8,Twain Middle,FAIRFAX CO PBLC SCHS,Fairfax County,4700 Franconia Rd,Alexandria,,,,,,
51,VA-029-0292252,5101260.0,VA-029,PK,PK,Virginia Hills E.C. Resource Ctr.,FAIRFAX CO PBLC SCHS,Fairfax County,6520 Diana Ln,Alexandria,,,,,,
52,VA-029-0291320,5101260.0,VA-029,PK,6,Washington Mill Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,9100 Cherrytree Dr,Alexandria,,,,,,
53,VA-029-0291080,5101260.0,VA-029,PK,6,Waynewood Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,1205 Waynewood Blvd,Alexandria,,,,,,
54,VA-029-0290900,5101260.0,VA-029,9,12,West Potomac High,FAIRFAX CO PBLC SCHS,Fairfax County,6500 Quander Rd,Alexandria,,,,,,
55,VA-029-0292455,5101260.0,VA-029,†,†,West Potomac High School Academy,FAIRFAX CO PBLC SCHS,Fairfax County,6500 Quander Rd,Alexandria,,,,,,
56,VA-029-0290520,5101260.0,VA-029,PK,5,Weyanoke Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,6520 Braddock Rd,Alexandria,,,,,,
57,VA-029-0291550,5101260.0,VA-029,7,8,Whitman Middle,FAIRFAX CO PBLC SCHS,Fairfax County,2500 Parkers Ln,Alexandria,,,,,,
